Country,League,Matchday,Hometeam,Awayteam
Germany,Bundesliga 2,14,Bielefeld,Preußen Münster
Germany,Bundesliga 2,14,Elversberg,Darmstadt
Germany,Bundesliga 2,14,Dresden,Fortuna Dusseldorf
Germany,Bundesliga 2,14,Magdeburg,Nurnberg
Germany,Bundesliga 2,14,Braunschweig,Kaiserslautern
Germany,Bundesliga 2,14,Greuther Furth,Bochum
Germany,Bundesliga 2,14,Holstein Kiel,Hertha
Germany,Bundesliga 2,14,Hannover,Karlsruhe
Germany,Bundesliga 2,14,Schalke 04,Paderborn
Germany,Bundesliga 2,13,Kaiserslautern,Holstein Kiel
Germany,Bundesliga 2,13,Karlsruhe,Elversberg
Germany,Bundesliga 2,13,Nurnberg,Bielefeld
Germany,Bundesliga 2,13,Darmstadt,Greuther Furth
Germany,Bundesliga 2,13,Fortuna Dusseldorf,Magdeburg
Germany,Bundesliga 2,13,Paderborn,Hannover
Germany,Bundesliga 2,13,Preußen Münster,Schalke 04
Germany,Bundesliga 2,13,Bochum,Dresden
Germany,Bundesliga 2,13,Hertha,Braunschweig
Germany,Bundesliga 2,12,Braunschweig,Bochum
Germany,Bundesliga 2,12,Holstein Kiel,Fortuna Dusseldorf
Germany,Bundesliga 2,12,Magdeburg,Paderborn
Germany,Bundesliga 2,12,Kaiserslautern,Hertha
Germany,Bundesliga 2,12,Bielefeld,Karlsruhe
Germany,Bundesliga 2,12,Hannover,Darmstadt
Germany,Bundesliga 2,12,Schalke 04,Elversberg
Germany,Bundesliga 2,12,Greuther Furth,Preußen Münster
Germany,Bundesliga 2,12,Dresden,Nurnberg
Germany,Bundesliga 2,11,Bochum,Magdeburg
Germany,Bundesliga 2,11,Fortuna Dusseldorf,Kaiserslautern
Germany,Bundesliga 2,11,Paderborn,Greuther Furth
Germany,Bundesliga 2,11,Darmstadt,Bielefeld
Germany,Bundesliga 2,11,Hertha,Dresden
Germany,Bundesliga 2,11,Karlsruhe,Schalke 04
Germany,Bundesliga 2,11,Nurnberg,Braunschweig
Germany,Bundesliga 2,11,Elversberg,Hannover
Germany,Bundesliga 2,11,Preußen Münster,Holstein Kiel
Germany,Bundesliga 2,10,Braunschweig,Hannover
Germany,Bundesliga 2,10,Kaiserslautern,Nurnberg
Germany,Bundesliga 2,10,Magdeburg,Preußen Münster
Germany,Bundesliga 2,10,Hertha,Fortuna Dusseldorf
Germany,Bundesliga 2,10,Bielefeld,Elversberg
Germany,Bundesliga 2,10,Holstein Kiel,Bochum
Germany,Bundesliga 2,10,Dresden,Paderborn
Germany,Bundesliga 2,10,Greuther Furth,Karlsruhe
Germany,Bundesliga 2,10,Schalke 04,Darmstadt
Germany,Bundesliga 2,9,Darmstadt,Magdeburg
Germany,Bundesliga 2,9,Elversberg,Greuther Furth
Germany,Bundesliga 2,9,Nurnberg,Holstein Kiel
Germany,Bundesliga 2,9,Bochum,Hertha
Germany,Bundesliga 2,9,Karlsruhe,Kaiserslautern
Germany,Bundesliga 2,15,Fortuna Dusseldorf,Schalke 04
Germany,Bundesliga 2,15,Preußen Münster,Hannover
Germany,Bundesliga 2,15,Bochum,Bielefeld
Germany,Bundesliga 2,15,Kaiserslautern,Dresden
Germany,Bundesliga 2,15,Paderborn,Elversberg
Germany,Bundesliga 2,15,Darmstadt,Karlsruhe
