Country,League,Matchday,Hometeam,Awayteam
France,Ligue 1,1,Rennes,Marseille
France,Ligue 1,1,Lens,Lyon
France,Ligue 1,1,Monaco,Le Havre
France,Ligue 1,1,Nice,Toulouse
France,Ligue 1,1,Brest,Lille
France,Ligue 1,1,Angers,Paris FC
France,Ligue 1,1,Auxerre,Lorient
France,Ligue 1,1,Metz,Strasbourg
France,Ligue 1,1,Nantes,Paris SG
France,Ligue 1,2,Paris SG,Angers
France,Ligue 1,2,Marseille,Paris FC
France,Ligue 1,2,Nice,Auxerre
France,Ligue 1,2,Lyon,Metz
France,Ligue 1,2,Lorient,Rennes
France,Ligue 1,2,Le Havre,Lens
France,Ligue 1,2,Strasbourg,Nantes
France,Ligue 1,2,Toulouse,Brest
France,Ligue 1,2,Lille,Monaco
France,Ligue 1,3,Lens,Brest
France,Ligue 1,3,Lorient,Lille
France,Ligue 1,3,Nantes,Auxerre
France,Ligue 1,3,Toulouse,Paris SG
France,Ligue 1,3,Angers,Rennes
France,Ligue 1,3,Le Havre,Nice
France,Ligue 1,3,Monaco,Strasbourg
France,Ligue 1,3,Paris FC,Metz
France,Ligue 1,3,Lyon,Marseille
France,Ligue 1,4,Marseille,Lorient
France,Ligue 1,4,Nice,Nantes
France,Ligue 1,4,Auxerre,Monaco
France,Ligue 1,4,Lille,Toulouse
France,Ligue 1,4,Brest,Paris FC
France,Ligue 1,4,Metz,Angers
France,Ligue 1,4,Paris SG,Lens
France,Ligue 1,4,Strasbourg,Le Havre
France,Ligue 1,4,Rennes,Lyon
France,Ligue 1,5,Lyon,Angers
France,Ligue 1,5,Nantes,Rennes
France,Ligue 1,5,Brest,Nice
France,Ligue 1,5,Lens,Lille
France,Ligue 1,5,Paris FC,Strasbourg
France,Ligue 1,5,Auxerre,Toulouse
France,Ligue 1,5,Le Havre,Lorient
France,Ligue 1,5,Monaco,Metz
France,Ligue 1,5,Marseille,Paris SG
France,Ligue 1,6,Strasbourg,Marseille
France,Ligue 1,6,Lorient,Monaco
France,Ligue 1,6,Toulouse,Nantes
France,Ligue 1,6,Paris SG,Auxerre
France,Ligue 1,6,Nice,Paris FC
France,Ligue 1,6,Angers,Brest
France,Ligue 1,6,Lille,Lyon
France,Ligue 1,6,Metz,Le Havre
France,Ligue 1,6,Rennes,Lens
France,Ligue 1,7,Paris FC,Lorient
France,Ligue 1,7,Metz,Marseille
France,Ligue 1,7,Brest,Nantes
France,Ligue 1,7,Auxerre,Lens
France,Ligue 1,7,Lyon,Toulouse
France,Ligue 1,7,Le Havre,Rennes
France,Ligue 1,7,Monaco,Nice
France,Ligue 1,7,Strasbourg,Angers
France,Ligue 1,7,Lille,Paris SG
France,Ligue 1,8,Paris SG,Strasbourg
