Country,League,Matchday,Hometeam,Awayteam
France,Ligue 2,15,St Etienne,Nancy
France,Ligue 2,15,Amiens,Guingamp
France,Ligue 2,15,Red Star,Clermont
France,Ligue 2,15,Annecy,Bastia
France,Ligue 2,15,Boulogne,Grenoble
France,Ligue 2,15,Laval,Troyes
France,Ligue 2,15,Pau FC,Le Mans
France,Ligue 2,15,Rodez,Dunkerque
France,Ligue 2,16,Bastia,Red Star
France,Ligue 2,16,Clermont,Boulogne
France,Ligue 2,16,Grenoble,Nancy
France,Ligue 2,16,Guingamp,Annecy
France,Ligue 2,16,Le Mans,Amiens
France,Ligue 2,16,Montpellier,Pau FC
France,Ligue 2,16,Troyes,Rodez
France,Ligue 2,16,Dunkerque,St Etienne
France,Ligue 2,16,Reims,Laval
France,Ligue 2,17,Annecy,Le Mans
France,Ligue 2,17,Laval,Dunkerque
France,Ligue 2,17,Nancy,Clermont
France,Ligue 2,17,Pau FC,Amiens
France,Ligue 2,17,Rodez,Guingamp
France,Ligue 2,17,Grenoble,Montpellier
France,Ligue 2,17,Red Star,Reims
France,Ligue 2,17,St Etienne,Bastia
France,Ligue 2,17,Boulogne,Troyes
France,Ligue 2,18,Troyes,Red Star
France,Ligue 2,18,Amiens,Nancy
France,Ligue 2,18,Bastia,Grenoble
France,Ligue 2,18,Clermont,Laval
France,Ligue 2,18,Guingamp,Boulogne
France,Ligue 2,18,Le Mans,St Etienne
France,Ligue 2,18,Pau FC,Rodez
France,Ligue 2,18,Reims,Annecy
France,Ligue 2,18,Montpellier,Dunkerque
France,Ligue 2,19,Annecy,Amiens
France,Ligue 2,19,Boulogne,Montpellier
France,Ligue 2,19,Dunkerque,Pau FC
France,Ligue 2,19,Laval,Bastia
France,Ligue 2,19,Rodez,Le Mans
France,Ligue 2,19,Grenoble,Red Star
France,Ligue 2,19,Troyes,Reims
France,Ligue 2,19,St Etienne,Clermont
France,Ligue 2,19,Nancy,Guingamp
France,Ligue 2,20,Amiens,Laval
France,Ligue 2,20,Annecy,Clermont
France,Ligue 2,20,Bastia,Montpellier
France,Ligue 2,20,Nancy,Rodez
France,Ligue 2,20,Pau FC,Grenoble
France,Ligue 2,20,Guingamp,Troyes
France,Ligue 2,20,Red Star,Boulogne
France,Ligue 2,20,Reims,St Etienne
France,Ligue 2,20,Le Mans,Dunkerque
France,Ligue 2,21,Bastia,Nancy
France,Ligue 2,21,Clermont,Reims
France,Ligue 2,21,Grenoble,Amiens
France,Ligue 2,21,Laval,Pau FC
France,Ligue 2,21,Montpellier,Guingamp
France,Ligue 2,21,Rodez,Red Star
France,Ligue 2,21,Dunkerque,Annecy
France,Ligue 2,21,Troyes,Le Mans
France,Ligue 2,21,St Etienne,Boulogne
France,Ligue 2,22,Amiens,Clermont
France,Ligue 2,22,Annecy,Grenoble
France,Ligue 2,22,Boulogne,Rodez
France,Ligue 2,22,Dunkerque,Guingamp
France,Ligue 2,22,Le Mans,Laval
France,Ligue 2,22,Nancy,Troyes
France,Ligue 2,22,Red Star,Pau FC
France,Ligue 2,22,Reims,Bastia
France,Ligue 2,22,St Etienne,Montpellier
France,Ligue 2,23,Amiens,Dunkerque
France,Ligue 2,23,Bastia,Troyes
France,Ligue 2,23,Clermont,Rodez
France,Ligue 2,23,Grenoble,Reims
France,Ligue 2,23,Guingamp,St Etienne
France,Ligue 2,23,Laval,Annecy
France,Ligue 2,23,Montpellier,Le Mans
France,Ligue 2,23,Pau FC,Boulogne
France,Ligue 2,23,Red Star,Nancy
France,Ligue 2,24,Annecy,Red Star
France,Ligue 2,24,Boulogne,Clermont
France,Ligue 2,24,Dunkerque,Bastia
France,Ligue 2,24,Le Mans,Guingamp
France,Ligue 2,24,Nancy,Grenoble
France,Ligue 2,24,Reims,Amiens
France,Ligue 2,24,Rodez,Montpellier
France,Ligue 2,24,St Etienne,Laval
France,Ligue 2,24,Troyes,Pau FC
France,Ligue 2,25,Amiens,Troyes
France,Ligue 2,25,Bastia,Annecy
France,Ligue 2,25,Clermont,Dunkerque
France,Ligue 2,25,Grenoble,Boulogne
France,Ligue 2,25,Guingamp,Rodez
France,Ligue 2,25,Laval,Nancy
France,Ligue 2,25,Montpellier,Reims
France,Ligue 2,25,Pau FC,St Etienne
France,Ligue 2,25,Red Star,Le Mans
France,Ligue 2,26,Boulogne,Amiens
France,Ligue 2,26,Dunkerque,Reims
France,Ligue 2,26,Laval,Guingamp
France,Ligue 2,26,Le Mans,Annecy
France,Ligue 2,26,Nancy,Montpellier
France,Ligue 2,26,Pau FC,Bastia
France,Ligue 2,26,Rodez,Grenoble
France,Ligue 2,26,St Etienne,Red Star
France,Ligue 2,26,Troyes,Clermont
France,Ligue 2,27,Annecy,Troyes
France,Ligue 2,27,Bastia,Boulogne
France,Ligue 2,27,Clermont,Pau FC
France,Ligue 2,27,Grenoble,St Etienne
France,Ligue 2,27,Guingamp,Amiens
France,Ligue 2,27,Montpellier,Laval
France,Ligue 2,27,Nancy,Le Mans
France,Ligue 2,27,Red Star,Dunkerque
France,Ligue 2,27,Reims,Rodez
France,Ligue 2,28,Amiens,Le Mans
France,Ligue 2,28,Boulogne,Nancy
France,Ligue 2,28,Clermont,Red Star
France,Ligue 2,28,Guingamp,Reims
France,Ligue 2,28,Laval,Grenoble
France,Ligue 2,28,Pau FC,Montpellier
France,Ligue 2,28,Rodez,Bastia
France,Ligue 2,28,St Etienne,Annecy
France,Ligue 2,28,Troyes,Dunkerque
France,Ligue 2,29,Annecy,Guingamp
France,Ligue 2,29,Bastia,Amiens
France,Ligue 2,29,Dunkerque,Rodez
France,Ligue 2,29,Grenoble,Clermont
France,Ligue 2,29,Le Mans,Pau FC
France,Ligue 2,29,Montpellier,Troyes
France,Ligue 2,29,Nancy,St Etienne
France,Ligue 2,29,Red Star,Laval
France,Ligue 2,29,Reims,Boulogne
France,Ligue 2,30,Amiens,Pau FC
France,Ligue 2,30,Annecy,Montpellier
France,Ligue 2,30,Boulogne,Le Mans
France,Ligue 2,30,Clermont,Nancy
France,Ligue 2,30,Guingamp,Grenoble
France,Ligue 2,30,Laval,Reims
France,Ligue 2,30,Red Star,Bastia
France,Ligue 2,30,Rodez,Troyes
France,Ligue 2,30,St Etienne,Dunkerque
France,Ligue 2,31,Bastia,St Etienne
France,Ligue 2,31,Dunkerque,Laval
France,Ligue 2,31,Le Mans,Clermont
France,Ligue 2,31,Montpellier,Grenoble
France,Ligue 2,31,Nancy,Annecy
France,Ligue 2,31,Pau FC,Guingamp
France,Ligue 2,31,Reims,Red Star
France,Ligue 2,31,Rodez,Amiens
France,Ligue 2,31,Troyes,Boulogne
France,Ligue 2,32,Amiens,Montpellier
France,Ligue 2,32,Annecy,Pau FC
France,Ligue 2,32,Boulogne,Dunkerque
France,Ligue 2,32,Clermont,Bastia
France,Ligue 2,32,Grenoble,Le Mans
France,Ligue 2,32,Laval,Rodez
France,Ligue 2,32,Red Star,Guingamp
France,Ligue 2,32,Reims,Nancy
France,Ligue 2,32,St Etienne,Troyes
France,Ligue 2,33,Amiens,Red Star
France,Ligue 2,33,Boulogne,Annecy
France,Ligue 2,33,Dunkerque,Grenoble
France,Ligue 2,33,Guingamp,Bastia
France,Ligue 2,33,Le Mans,Reims
France,Ligue 2,33,Montpellier,Clermont
France,Ligue 2,33,Pau FC,Nancy
France,Ligue 2,33,Rodez,St Etienne
France,Ligue 2,33,Troyes,Laval
France,Ligue 2,34,Annecy,Rodez
France,Ligue 2,34,Bastia,Le Mans
France,Ligue 2,34,Clermont,Guingamp
France,Ligue 2,34,Grenoble,Troyes
France,Ligue 2,34,Laval,Boulogne
France,Ligue 2,34,Nancy,Dunkerque
France,Ligue 2,34,Red Star,Montpellier
France,Ligue 2,34,Reims,Pau FC
France,Ligue 2,34,St Etienne,Amiens
