Country,League,Matchday,Hometeam,Awayteam
Germany,Bundesliga 1,33,Hoffenheim,Werder Bremen
Germany,Bundesliga 1,33,Augsburg,M'gladbach
Germany,Bundesliga 1,33,Wolfsburg,Bayern Munich
Germany,Bundesliga 1,33,Stuttgart,Leverkusen
Germany,Bundesliga 1,33,RB Leipzig,St Pauli
Germany,Bundesliga 1,33,Mainz,Union Berlin
Germany,Bundesliga 1,33,Dortmund,Ein Frankfurt
Germany,Bundesliga 1,34,Heidenheim,Mainz
Germany,Bundesliga 1,34,St Pauli,Wolfsburg
Germany,Bundesliga 1,34,Union Berlin,Augsburg
Germany,Bundesliga 1,34,M'gladbach,Hoffenheim
Germany,Bundesliga 1,34,Werder Bremen,Dortmund
Germany,Bundesliga 1,34,Freiburg,RB Leipzig
Germany,Bundesliga 1,34,Ein Frankfurt,Stuttgart
Germany,Bundesliga 1,34,Leverkusen,Hamburg
Germany,Bundesliga 1,34,Bayern Munich,FC Koln
