Country,League,Matchday,Hometeam,Awayteam
Italy,Serie A,14,Lazio,Bologna
Italy,Serie A,14,Napoli,Juventus
Italy,Serie A,14,Pisa,Parma
Italy,Serie A,14,Sassuolo,Fiorentina
Italy,Serie A,14,Torino,Milan
Italy,Serie A,14,Udinese,Genoa
Italy,Serie A,14,Verona,Atalanta
Italy,Serie A,15,Atalanta,Cagliari
Italy,Serie A,15,Bologna,Juventus
Italy,Serie A,15,Fiorentina,Verona
Italy,Serie A,15,Genoa,Inter
Italy,Serie A,15,Lecce,Pisa
Italy,Serie A,15,Milan,Sassuolo
Italy,Serie A,15,Parma,Lazio
Italy,Serie A,15,Roma,Como
Italy,Serie A,15,Torino,Cremonese
Italy,Serie A,15,Udinese,Napoli
Italy,Serie A,16,Cagliari,Pisa
Italy,Serie A,16,Como,Milan
Italy,Serie A,16,Fiorentina,Udinese
Italy,Serie A,16,Genoa,Atalanta
Italy,Serie A,16,Inter,Lecce
Italy,Serie A,16,Juventus,Roma
Italy,Serie A,16,Lazio,Cremonese
Italy,Serie A,16,Napoli,Parma
Italy,Serie A,16,Sassuolo,Torino
Italy,Serie A,16,Verona,Bologna
Italy,Serie A,17,Atalanta,Inter
Italy,Serie A,17,Bologna,Sassuolo
Italy,Serie A,17,Cremonese,Napoli
Italy,Serie A,17,Lecce,Como
Italy,Serie A,17,Milan,Verona
Italy,Serie A,17,Parma,Fiorentina
Italy,Serie A,17,Pisa,Juventus
Italy,Serie A,17,Roma,Genoa
Italy,Serie A,17,Torino,Cagliari
Italy,Serie A,17,Udinese,Lazio
Italy,Serie A,18,Atalanta,Roma
Italy,Serie A,18,Cagliari,Milan
Italy,Serie A,18,Como,Udinese
Italy,Serie A,18,Fiorentina,Cremonese
Italy,Serie A,18,Genoa,Pisa
Italy,Serie A,18,Inter,Bologna
Italy,Serie A,18,Juventus,Lecce
Italy,Serie A,18,Lazio,Napoli
Italy,Serie A,18,Sassuolo,Parma
Italy,Serie A,18,Verona,Torino
Italy,Serie A,19,Bologna,Atalanta
Italy,Serie A,19,Cremonese,Cagliari
Italy,Serie A,19,Lazio,Fiorentina
Italy,Serie A,19,Lecce,Roma
Italy,Serie A,19,Milan,Genoa
Italy,Serie A,19,Napoli,Verona
Italy,Serie A,19,Parma,Inter
Italy,Serie A,19,Pisa,Como
Italy,Serie A,19,Sassuolo,Juventus
Italy,Serie A,19,Torino,Udinese
Italy,Serie A,20,Atalanta,Torino
Italy,Serie A,20,Como,Bologna
Italy,Serie A,20,Fiorentina,Milan
Italy,Serie A,20,Genoa,Cagliari
Italy,Serie A,20,Inter,Napoli
Italy,Serie A,20,Juventus,Cremonese
Italy,Serie A,20,Lecce,Parma
Italy,Serie A,20,Roma,Sassuolo
Italy,Serie A,20,Udinese,Pisa
Italy,Serie A,20,Verona,Lazio
Italy,Serie A,21,Bologna,Fiorentina
Italy,Serie A,21,Cagliari,Juventus
Italy,Serie A,21,Cremonese,Verona
Italy,Serie A,21,Lazio,Como
Italy,Serie A,21,Milan,Lecce
Italy,Serie A,21,Napoli,Sassuolo
Italy,Serie A,21,Parma,Genoa
Italy,Serie A,21,Pisa,Atalanta
Italy,Serie A,21,Torino,Roma
Italy,Serie A,21,Udinese,Inter
Italy,Serie A,22,Atalanta,Parma
Italy,Serie A,22,Como,Torino
Italy,Serie A,22,Fiorentina,Cagliari
Italy,Serie A,22,Genoa,Bologna
Italy,Serie A,22,Inter,Pisa
Italy,Serie A,22,Juventus,Napoli
Italy,Serie A,22,Lecce,Lazio
Italy,Serie A,22,Roma,Milan
