Country,League,Matchday,Hometeam,Awayteam,FTR,FTHG,FTAG,HTR,HTHG,HTAG
Germany,Bundesliga 1,5,Mainz,Dortmund,A,0.0,2.0,A,0.0,2.0
Germany,Bundesliga 1,5,M'gladbach,Ein Frankfurt,A,4.0,6.0,A,0.0,5.0
Germany,Bundesliga 1,5,Freiburg,Hoffenheim,D,1.0,1.0,D,1.0,1.0
Germany,Bundesliga 1,5,FC Koln,Stuttgart,A,1.0,2.0,D,1.0,1.0
Germany,Bundesliga 1,5,Union Berlin,Hamburg,D,0.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,6,Hoffenheim,FC Koln,A,0.0,1.0,A,0.0,1.0
Germany,Bundesliga 1,6,Augsburg,Wolfsburg,H,3.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,6,Werder Bremen,St Pauli,H,1.0,0.0,H,1.0,0.0
Germany,Bundesliga 1,6,Dortmund,RB Leipzig,D,1.0,1.0,D,1.0,1.0
Germany,Bundesliga 1,6,Leverkusen,Union Berlin,H,2.0,0.0,H,1.0,0.0
Germany,Bundesliga 1,6,Ein Frankfurt,Bayern Munich,A,0.0,3.0,A,0.0,2.0
Germany,Bundesliga 1,6,Stuttgart,Heidenheim,H,1.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,6,Hamburg,Mainz,H,4.0,0.0,H,2.0,0.0
Germany,Bundesliga 1,6,M'gladbach,Freiburg,D,0.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,7,Union Berlin,M'gladbach,H,3.0,1.0,H,2.0,1.0
Germany,Bundesliga 1,7,FC Koln,Augsburg,D,1.0,1.0,D,0.0,0.0
Germany,Bundesliga 1,7,Heidenheim,Werder Bremen,D,2.0,2.0,D,0.0,0.0
Germany,Bundesliga 1,7,Wolfsburg,Stuttgart,A,0.0,3.0,A,0.0,1.0
Germany,Bundesliga 1,7,RB Leipzig,Hamburg,H,2.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,7,Mainz,Leverkusen,A,3.0,4.0,A,1.0,3.0
Germany,Bundesliga 1,7,Bayern Munich,Dortmund,H,2.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,7,Freiburg,Ein Frankfurt,D,2.0,2.0,A,1.0,2.0
Germany,Bundesliga 1,7,St Pauli,Hoffenheim,A,0.0,3.0,D,0.0,0.0
Germany,Bundesliga 1,8,Werder Bremen,Union Berlin,H,1.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,8,Hamburg,Wolfsburg,A,0.0,1.0,A,0.0,1.0
Germany,Bundesliga 1,8,Hoffenheim,Heidenheim,H,3.0,1.0,H,2.0,0.0
Germany,Bundesliga 1,8,Augsburg,RB Leipzig,A,0.0,6.0,A,0.0,4.0
Germany,Bundesliga 1,8,M'gladbach,Bayern Munich,A,0.0,3.0,D,0.0,0.0
Germany,Bundesliga 1,8,Ein Frankfurt,St Pauli,H,2.0,0.0,H,1.0,0.0
Germany,Bundesliga 1,8,Dortmund,FC Koln,H,1.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,8,Leverkusen,Freiburg,H,2.0,0.0,H,1.0,0.0
Germany,Bundesliga 1,8,Stuttgart,Mainz,H,2.0,1.0,D,1.0,1.0
Germany,Bundesliga 1,9,Augsburg,Dortmund,A,0.0,1.0,A,0.0,1.0
Germany,Bundesliga 1,9,Heidenheim,Ein Frankfurt,D,1.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,9,St Pauli,M'gladbach,A,0.0,4.0,A,0.0,2.0
Germany,Bundesliga 1,9,Union Berlin,Freiburg,D,0.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,9,RB Leipzig,Stuttgart,H,3.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,9,Mainz,Werder Bremen,D,1.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,9,Bayern Munich,Leverkusen,H,3.0,0.0,H,3.0,0.0
Germany,Bundesliga 1,9,FC Koln,Hamburg,H,4.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,9,Wolfsburg,Hoffenheim,A,2.0,3.0,D,1.0,1.0
Germany,Bundesliga 1,10,Werder Bremen,Wolfsburg,H,2.0,1.0,A,0.0,1.0
Germany,Bundesliga 1,10,Hamburg,Dortmund,D,1.0,1.0,D,0.0,0.0
Germany,Bundesliga 1,10,Hoffenheim,RB Leipzig,H,3.0,1.0,H,2.0,1.0
Germany,Bundesliga 1,10,Union Berlin,Bayern Munich,D,2.0,2.0,D,1.0,1.0
Germany,Bundesliga 1,10,Leverkusen,Heidenheim,H,6.0,0.0,H,5.0,0.0
Germany,Bundesliga 1,10,M'gladbach,FC Koln,H,3.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,10,Freiburg,St Pauli,H,2.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,10,Stuttgart,Augsburg,H,3.0,2.0,D,2.0,2.0
Germany,Bundesliga 1,10,Ein Frankfurt,Mainz,H,1.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,11,Mainz,Hoffenheim,D,1.0,1.0,A,0.0,1.0
Germany,Bundesliga 1,11,Heidenheim,M'gladbach,A,0.0,3.0,A,0.0,1.0
Germany,Bundesliga 1,11,Augsburg,Hamburg,H,1.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,11,Wolfsburg,Leverkusen,A,1.0,3.0,A,0.0,3.0
Germany,Bundesliga 1,11,Dortmund,Stuttgart,D,3.0,3.0,H,2.0,0.0
Germany,Bundesliga 1,11,Bayern Munich,Freiburg,H,6.0,2.0,D,2.0,2.0
Germany,Bundesliga 1,11,FC Koln,Ein Frankfurt,A,3.0,4.0,A,1.0,2.0
Germany,Bundesliga 1,11,RB Leipzig,Werder Bremen,H,2.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,11,St Pauli,Union Berlin,A,0.0,1.0,A,0.0,1.0
Germany,Bundesliga 1,12,M'gladbach,RB Leipzig,D,0.0,0.0,D,0.0,0.0
Germany,Bundesliga 1,12,Hoffenheim,Augsburg,H,3.0,0.0,H,3.0,0.0
Germany,Bundesliga 1,12,Union Berlin,Heidenheim,A,1.0,2.0,H,1.0,0.0
Germany,Bundesliga 1,12,Werder Bremen,FC Koln,D,1.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,12,Bayern Munich,St Pauli,H,3.0,1.0,D,1.0,1.0
Germany,Bundesliga 1,12,Leverkusen,Dortmund,A,1.0,2.0,A,0.0,1.0
Germany,Bundesliga 1,12,Hamburg,Stuttgart,H,2.0,1.0,H,1.0,0.0
Germany,Bundesliga 1,12,Ein Frankfurt,Wolfsburg,D,1.0,1.0,D,0.0,0.0
Germany,Bundesliga 1,12,Freiburg,Mainz,H,4.0,0.0,H,2.0,0.0
Germany,Bundesliga 1,13,Hamburg,Werder Bremen,,,,,,
Germany,Bundesliga 1,13,FC Koln,St Pauli,,,,,,
Germany,Bundesliga 1,13,Heidenheim,Freiburg,,,,,,
Germany,Bundesliga 1,13,Augsburg,Leverkusen,,,,,,
Germany,Bundesliga 1,13,Wolfsburg,Union Berlin,,,,,,
Germany,Bundesliga 1,13,Stuttgart,Bayern Munich,,,,,,
Germany,Bundesliga 1,13,RB Leipzig,Ein Frankfurt,,,,,,
Germany,Bundesliga 1,13,Mainz,M'gladbach,,,,,,
Germany,Bundesliga 1,13,Dortmund,Hoffenheim,,,,,,
Germany,Bundesliga 1,14,Hoffenheim,Hamburg,,,,,,
Germany,Bundesliga 1,14,St Pauli,Heidenheim,,,,,,
Germany,Bundesliga 1,14,Union Berlin,RB Leipzig,,,,,,
Germany,Bundesliga 1,14,M'gladbach,Wolfsburg,,,,,,
Germany,Bundesliga 1,14,Werder Bremen,Stuttgart,,,,,,
Germany,Bundesliga 1,14,Freiburg,Dortmund,,,,,,
Germany,Bundesliga 1,14,Ein Frankfurt,Augsburg,,,,,,
